City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
324,Yantal,RU,56.8471,105.2542,42.21,94,92,10.18,overcast clouds
325,Karpogory,RU,64.0019,44.4451,61.52,80,36,3.27,scattered clouds
326,The Valley,AI,18.217,-63.0578,87.66,70,40,14.97,scattered clouds
327,Soyo,AO,-6.1349,12.3689,71.55,83,97,8.86,overcast clouds
328,Sechura,PE,-5.5569,-80.8222,75.67,54,28,14.34,scattered clouds
329,Uyuni,BO,-20.4597,-66.825,57.11,19,99,12.37,overcast clouds
330,Adre,TD,13.4667,22.2,77.67,68,89,4.63,light rain
331,Marsh Harbour,BS,26.5412,-77.0636,85.33,69,9,14.83,clear sky
332,Teguldet,RU,57.3064,88.1667,51.12,97,100,11.74,light rain
333,Shumskiy,RU,54.8318,99.1328,46.4,70,76,10.85,broken clouds
334,Gambela,ET,8.25,34.5833,72.7,87,58,3.24,broken clouds
335,Kieta,PG,-6.2167,155.6333,77.81,85,98,4.76,overcast clouds
336,Thompson,CA,55.7435,-97.8558,68.16,83,100,3.44,overcast clouds
337,Baoding,CN,38.8511,115.4903,59.07,97,100,5.99,overcast clouds
338,Puerto Escondido,MX,15.85,-97.0667,84.6,66,100,2.91,overcast clouds
339,Ambrolauri,GE,42.5211,43.1622,69.67,52,0,4.94,clear sky
340,Union Hidalgo,MX,16.4723,-94.8295,81.81,82,100,3.0,overcast clouds
341,Ixtapa,MX,20.7,-105.2,87.22,65,97,4.0,overcast clouds
342,Kumluca,TR,36.3703,30.2869,81.93,68,1,2.21,clear sky
